Thread ID Process,190,140,196
Thread ID Thread,192,139,125
Thread Priority Base,193,138,146
Thread Priority Current,170,137,156
Thread Start Address,194,136,124
Thread Thread State,195,135,159
Thread Thread Wait Reason,202,134,172
UDPv4 Datagrams No Port/sec,143,3,112
UDPv4 Datagrams Received Errors,188,133,117
UDPv4 Datagrams Received/sec,107,132,173
UDPv4 Datagrams Sent/sec,108,155,200
UDPv4 Datagrams/sec,105,15,116
